review,class
I am unable to post a comment...the message I get is: 'You have exceeded your rate.',problem discovery
We think you were trying to post content that might be spam.,information giving
I love this app but now I can  t open the pages and I can only see the pins but when I click on them I can  t go to the websites.,problem discovery
I just wish it would allow your to scroll through the home page with one column rather than 2 on the iPhone.,feature request
You can pretty much anything you want to know or design in here.,information giving
\nI need more hours in a day.,information giving
Never had issues with the app.,information giving
"Now it crashes randomly, and often.",problem discovery
My daughter has created a bunch of items from this app!,information giving
I have had no problems with it.,information giving
"There are so many great ideas, yummy recipes, and hillarious ecards.",information giving
"It  s okay, sometimes it can be buggy but since my last update I haven  t had a problem!",information giving
"Only issue I have is that is will refuse to let me pin once in awhile and that gets frustrating, but otherwise I love it!",problem discovery
"I do not like how some pins lead you to a dead site, those should be removed.",feature request
I love Pintrest so much it gives me so many craft ideas or just keeps me busy when I  m bored!,information giving
I don  t have any problems and you can find about anything you  re looking for ?,information giving
"Makes it difficult to find things, since I have to try and remember WHEN I created the board, to make it easier to find.",problem discovery
Please fix it!,problem discovery
I  ve also had issues with some pins not being clickable.,problem discovery
I love the app but it crashes every  minute and never saves the thing I was about to pin!,problem discovery
"I can  t stop ,",information giving
"The iPad version has several problems, including stacking open windows in the background, not alphabetizing new categories on your page, and frequent unexpected program crashes.",problem discovery
What ever I need some inspiration for I can surely find it here!,information giving
"but since upgrading to iOS 7, the app frequently crashes.",problem discovery
Please fix the stability!!,problem discovery
Please fix this ASAP!,problem discovery
That creates a problem for me because it is my ADDICTION !!,information giving
The latest revision of the app has had some stability problems.,problem discovery
"But, the new update keeps crashing the app every time I try to open a pin.",problem discovery
Please fix it!,problem discovery
I love being able to use Pinterest thru the app but it seems to be having problems.,problem discovery
The only issue I have is that some of the pins have no link...you click the picture and that  s all you get is the photo.,problem discovery
Amazing ideas and the imagination is endless.,information giving
"Also, how in the world do you communicate with someone or send them a pin?",information seeking
It is my go to app when I need an idea.,information giving
"Excellent app, though it occasionally crashes when browsing through it.",problem discovery
"Push notifications are not working on my iphone although it  s set up properly and when you open a sent pin while in email on the iPad, it forces Safari to open, it does not open it in the App.",problem discovery
It has everything you need!,information giving
"Please fix....please please please ,",problem discovery
"Adriano Plotzki ,  I  ve been reading many tips about how to sleep without Pinterest, but I still can  t do it.",information giving
"I love the app, but it hate that you can  t see the time while you  re in it.",information giving
I learned how to pin my own pics.,information giving
Great app but newest update crashes often when pinning on my iPad.,problem discovery
If anyone knows how to do this please post.,information seeking
Only problem for me is once I start I can  t get off.,information giving
"Every time I get on, it crashes and causes my iPad to restart.",problem discovery
It is amazing how much fun you can have with it.,information giving
"Everything I ever need is right here on this app, I get soo many inspiring ideas from any category.",information giving
"It appears all bugs have been fixed, but are not.",problem discovery
Great service   almost great app\n\nBasic function is there  but I can  t wait until its fully functional!,information giving
Why is it so hard to fund menu items?,information seeking
"s Next Partner :) ,  ...except the fact that whenever I  m in the middle of reading an extra long pin, it crashes!",problem discovery
"Sometimes, if I  ve just been on it for a while it crashes.",problem discovery
"As much as I like to lose myself in Pinterest, I like to have some sense of time while browsing around in this app.",information giving
"All your ideas, needs and wants!!",information giving
I am one of the many who is not able to use this app.,problem discovery
Love Pinterest but there has been a lot if crashing since the last update.,problem discovery
"It would be nice if one could rearrange boards on page to have categories that are similar be next to each other, or just to be able to arrange the boards on page to ones liking.",feature request
Also I have been having problems with constant crashing and pins that lead to nowhere.,problem discovery
Please fix this!,problem discovery
Get ready to find all the things you didn  t even know you wanted to do/ have!,information giving
I love Pinterest but I can  t open it anymore without it crashing.,problem discovery
"However one frustrating development is when I  m deeper into links (say I follow a pin to its site, click on another link and want to pin from there) the app consistently crashes.",problem discovery
It would be cool to see some type of messaging system integrated where you could suggest a pin to a friend or be alerted if one of your friends commented on something you pinned.,feature request
"It  s easy and doesn  t crash often ,",information giving
Please fix this.,problem discovery
Please fix this!,problem discovery
Just love it.,information giving
"Amylovescats ,  Don  t download this app if u want to have a life outside of Pinterest.",information giving
Everything you need will be here.,information giving
I highly recommend this app!,information giving
"I liked the previous version of the app, but now there are way to many advertisements that pop up when I am pinning.",problem discovery
"The only issue is that every once in a while, it kicks me out of the app.",problem discovery
What did we do before Pinterest!?,information seeking
"s Team ,  If you have not tried it you are totally missing out.",information giving
"Love Pinterest BUT app crashes quite often :/ ,",problem discovery
I did some research and it turns out many ppl have this problem and it  s a Pinterest app specific problem.,problem discovery
Please release an update to fix this.,feature request
No complaints whatsoever except that the app crashes from time to time on my ipad air.,problem discovery
Ever since the last update it crashes constantly and makes it very frustrating to use!,problem discovery
Ever since the latest update my iPad app crashes several times a session when clicking on specific pins.,problem discovery
Highly recommend this app.,information giving
However I wish there was an way to alphabetize my boards!,feature request
"I greatly enjoy Pinterest, the only problem I find with it is that I can  t go back to the same place I was once I click on something, while on my windows phone ,",problem discovery
How can u not LOVE this app?,information seeking
Now I can  t open links in safari and when I look at other people  s boards   hardly any of their boards and pins load (you can tell by their pin count).,problem discovery
"My only complaints would be that sometimes it unexpectedly crashes, which sometimes makes me lose great pins.",problem discovery
"Anytime you need an idea for any reason, it  s here at your fingertips.",information giving
:/ please fix this!,problem discovery
But the new update causes crashes everytime I try to open notifications ?,problem discovery
"s iTunes ,  Constantly crashes my iPad!",problem discovery
There are a few issues I  ve experienced with uploading certain pictures and being able for others to view.,problem discovery
"However, it is crashing and shutting down the device so it must reboot.",problem discovery
"The update crashes my iPad when I try to open a pin..but other than that I am totally obsessed with it and love all the ideas I get from it ,",problem discovery
Now that you added the ability to upload pics I  m happy to give you 5 stars!,information giving
Why does the app always crash when I try to send a pin from my iPad?,information seeking
I liked how you could back swipe to return to the pervious page of posts now it goes to another pin.,information giving
But I wish you could move more than one pin at a time to a new board.,feature request
You can create your own boards and see what all of your friends are pinning.,information giving
Definitely recommended for anyone who is looking for a fun and productive way to pass the time.,information giving
I love selecting my favs and adding a few of my own pix.,information giving
"Never had a problem with crashing ,",information giving
I can get everything I need in one place from food to crafts to funny pictures to wedding ideas.,information giving
It is amazing and I highly recommend it to anyone that hasn  t tried it.,information giving
I can save things I want to see later by just pinning them.,information giving
Great app love the site only gets a 4 because I can  t pin directly from iPhone and lets face who uses their computer that often anymore.,information giving
"There are really good ideas for home decor, cooking, crafting, etc., but my favorite feature is travel photos and all the amazing places one can add to one  s bucket list.",information giving
This app really helps you keep organized with everything you might want to do or have done or love or want to remember.,information giving
"I  ve been wanting to get Pinterest on the go, and so far I  ve been very happy with this app :) I haven  t had to deal with updates yet, but I love how its still just as easy to use on my iPhone as it is to use on a tablet or computer!",information giving
Now it is so frustrating.....crashes constantly on my iPad.,problem discovery
"Every so many pins, searches or even pulling up my owns pins....it CRASHES.",problem discovery
Sorry before I forgot the rating.,information giving
There are so many ideas and themes.....you could explore forever.,information giving
"Viewing so many places in the world to get 'traveling' ideas, \n'how to' fix things in your house, hair, makeup, etc., &amp; amazing party ideas.",information giving
"\nI can find anything from beautiful Art or photos of celebrities, flower ideas (bouquets or arrangements)\nPinterest is such a helpful &amp; useful app that I can  t live without.",information giving
It has made my daily life so much easier.,information giving
"No matter what you  re into and what you  re looking for, it  s here!!",information giving
The only problem is that I spend so much time surfing for ideas that I run out of time to do them!,problem discovery
"I am addicted to pinterest but when I updated it,I can  t open the app or even on safari!!",problem discovery
One of them was Create a Pin in Pinterest.,information giving
It crashes every time I close a pin I was looking at.,problem discovery
"Have to copy link and open in a browser, otherwise I just get a grey screen.",problem discovery
"The app is great, but not when it is crashing my iPad.",problem discovery
"Ever since the update, when the screen orientation is changed, the app crashes and the iPad goes right along with it.",problem discovery
It repeatedly crashes and resets.,problem discovery
\n\nUpdate: this is the third update since I originally wrote this review and it  s still crashing on a regular basis.,problem discovery
"Best ideas, people are so creative and I think I  m addicted!",information giving
Please continue it always.,information giving
I plan to get all my associates hooked on it.,information giving
"Love love love it lots of inspiration and you can find anything you need ,",information giving
I wish you were able to create sub boards.,feature request
My entire iPad crashes when I  m using Pinterest since the update.,problem discovery
I never have any problems with this app!,information giving
I also have a problem with it crashing.,problem discovery
"I am addicted to Pinterest, but it is always crashing.",problem discovery
I just love this App!,information giving
I love pinterest I can  t stop looking at stuff!!,information giving
Sometimes I am unable to see my pins/likes/boards but it  s coming along.,problem discovery
This app never fails to surprise me!,information giving
I love this app but it crashes my whole iPad and it has to restart itself.,problem discovery
Please fix this bug!,problem discovery
This creates a stack of open pages.,information giving
I have to manually close pages under the one I am looking at or the program will crash after just a few clicks.,problem discovery
"I love this site, but it has been crashing since the last update.",problem discovery
Pinterest crash and burns harder than a Ford Pinto.,problem discovery
The crashing bug needs to be fixed before adding more crap we can  t use.,problem discovery
This needs to be fixed....why is it you won  t show my review?,problem discovery
It  s perfect when I  m on the go and I need to look up something I  ve saved.,information giving
I  ve found so many good ideas and recipes and its so easy to organize them so you can use them later.,information giving
Application crashes after trying to open link up.,problem discovery
Please fix otherwise awesome App.,problem discovery
I  m completely addicted and the updates have just added to my addiction.,information giving
I can  t pin fast enough.,information giving
Can  t open pins!!,problem discovery
Never have I gotten so many ideas to be creative .,information giving
"As an elementary art teacher, I could not have a better app on my phone, so many good ideas ,",information giving
The only bad thing is that it crashes quite a bit.,problem discovery
The app crashes entirely too much.,problem discovery
App constantly crashes.,problem discovery
"If you try to send a pin to someone, pin something, viewed one of your boards  app will either just crash or you get blue screen and ipad restarts itself.",problem discovery
My app has continually been crashing.,problem discovery
Please get it fixed!!!,problem discovery
"I love the app, I get lots of recipes and am able to open it when I  m at the grocery store and see what I need to buy for recipes and then when I  m cooking its easy to follow the recipe right from my phone!!",information giving
"Love the App big time BUT after this last update, it would seem, it crashes all the time.",problem discovery
It  s the first place I look to when I need something.,information giving
:) the new updates on this app make it much more stable and I like you can now make Pinterest folders within the app.,information giving
I hate it when it crashes my iPad though &amp; has been difficult to open pins at times.,problem discovery
The one thing that is missing &amp; something I  d like to see is red light notifications like the website version has.,feature request
"With the new iOS and app update, I can  t open ANY of my pins, or any of the links in safari through the app.",problem discovery
I totally recommend it!!!,information giving
"Pintrest is the greatest, all ideas are great, just need clear and full recipes.",information giving
I am so disappointed with the Pinterest IPad App at how it continues to crash when attempting to open the pinned links.,problem discovery
"Please fix this as soon as possible, as this app played an important role in my leisure time.",problem discovery
The ideas are endless.,information giving
"Can  t open pictures to view larger and on the rare when I can, I can  t open the URL.",problem discovery
Please fix it!,problem discovery
Addictive app filled with craft ideas and step by step tutorials on how to create them.,information giving
Just love it!,information giving
Who needs a cookbook anymore when I have Pinterest!,information giving
I have had op problems with this app.,problem discovery
"Save all your how to"" videos in one place; all your renovation ideas; party planning ideas; dream decorating ideas; plan for what to do in your garden next year.""",information giving
"However, it does not always work (when I absolutely know I have a pin with that word in the description).",problem discovery
"Whtsap is hngng smetms...nw need an updte whch cn imprve whtsap...please give updte quckly ,",problem discovery
"Art support	Waiting for the update since a month, all the other apps except whatsapp supports it;coz of which I can  t use art. ",feature request
NICE	Please fix the Whatsapp..all my contact profile picture cannot see. ,problem discovery
"Earlier it was running awesome but since d last update its running very slowly, plz resolve d prob!!!",problem discovery
why	why my whatsapp have not settings ?,information seeking
Good	I cannot see the last seen statements though?,information giving
How abt u give the android users the same functionality?,feature request
Crashes	App crashes frequently on HTC phone.,problem discovery
above average as it needs more emotions.,feature request
Installation problem	I am not able to install whatsapp on lenovo A269I,problem discovery
Four stars	Its a wonderful app and provides a good way to stay in contact with peepz but its needs more improvement especially in de area of speed,problem discovery
Not happy	I want d developer to improve the app cz I updated my fone to 4.1.1 and the app is not working,problem discovery
New Flags added does nt work.plz update.,problem discovery
Please make an Update of LAST SEEN FREEZE or HIDE LAST SEEN options.,feature request
85 out of 100 need this kind of Update.,information giving
Media sharing	Its good but can be better and if mb in media sharing can incresed then it will be excenlt so please improve it so that I can give it 5 stars,feature request
Please Add More Features	Please Add More Features Like Whatsapp +(plus),feature request
"Its not at all connecting.please sort it down ,",problem discovery
"No block list	as i updated No block list,",information giving
It should have a built in protection system.,feature request
Great	Great app but need some improvement for IOS devices,information giving
Please i need your help.,information giving
Cool app	Please make sure that we can delete media received from memory and not just from chat.,information giving
They have to fix the update feature properly so that it done at a one go and possibly twice for it to activate previous whatapps conversation account.,problem discovery
Is that true and if so why can  t you set it up?,information seeking
S4	Please we need a Zimbabwean flag,feature request
Using too much memory	Whatsapp is using too much memory You have to do something whatsapp team for users having low memory,problem discovery
Payements	Good but why can  t it be free like skype?,information seeking
"I cant download image and videos sent	when i try to download image or videos, it says ""download was unable to complete, please try again later"".",problem discovery
"i have tried to uninstall, the problem is still the same.",problem discovery
Please Check the problem.,information giving
Some defect	Please correct this defect when will listen to a voice note than the screen becomes whole black and we are not able to clearly hear the voice in my s4,problem discovery
What is error 927?,information seeking
Whats up is fail to download...is there any solution?,information seeking
Alone	So bad not updating new version to my Mobil only only it is coming error 919 ( :,problem discovery
Now I can  t play game at all.,information giving
It crashes at opening every time!!,problem discovery
Most of them don  t even know how to use spell check on their phone for heavens sake!,information giving
"Please get more games soon, can  t take the wait!",feature request
"\nHi, my aim has improved as has my ability to figure out how to get 3 stars on most all levels.",information giving
"All I get is waiting"" then failed to update.""",problem discovery
I updated my iOS software and it  s not that or my phone.,information giving
"I know you can do better, Rovio!",information giving
"I went in to print out my schedule request form, so I clicked the print"" icon but it crashed on every attempt.""",problem discovery
\nMenu disappears\nCan  t rename files\nMoving files sometime fails and without a cited reason.,problem discovery
Why keep on asking when I already said no?,information seeking
"Second, why not use background update feature of ios7 to do it, rather than the awkward location based method?",feature request
"It wont even let me change tabs, then crashes.",problem discovery
"Ledmetallicadc ,  After updating, it logged me out and every time I try to log in, it crashes immediately.",problem discovery
Drop box as a service is rather annoying as it seems to be made for old people who haven  t made the jump to collaborating in real time in the cloud.,information giving
"Why are you following Apple  s lead with the crappy, dull, uninspired look?",information seeking
"Ever since iOS 7 update, Dropbox has not worked; constantly crashes, when it does run it is EXTREMELY slow, and there are problems with camera uploading.",problem discovery
"Movies should be separated out from videos, just like in the Photos app.",feature request
Why I can  t I upload photos from my camera roll one at a time instead of the entire camera roll?,information seeking
Please change this.,feature request
I even set up a different box to try and fix it thinking my original box was the problem.,problem discovery
I can  t do anything.,problem discovery
"rugg31 ,  Flat out will not open on a new iPad Air ,",information giving
What happened?,information seeking
"All these updates, and I still can  t rename things?",feature request
And I never added anything to my favorites.,information giving
"JohnInThisLife ,  Why did you drop support for earlier IOSs?",information seeking
Why no backward compatibility to iOS 6?,feature request
I think it is a huge mistake to do so.,problem discovery
"I have been a Dropbox user for years and, unfortunately, must look for another solution unless an iOS 6 version is made available again.",information giving
This app needs to support older OS versions!,feature request
"Instead of having multiple paper notebooks or little notes everywhere, everything  I need to remember or reference goes into Evernote.",information giving
"Our minds need Evernote to actually function today as the creative, thinking creatures we are and unburden us from the voluminous, mundane which informs our thinking.",information giving
While there are still functions which are not yet available on all mobile platforms these do not detract from the unequivocal 5+ rating.,information giving
"I was about ready to leave Evernote because it would often crash and lose my thoughts, also the skeumorphic design was painful to look at.",problem discovery
"Never crashes, and it  s so much simpler than the old version.",information giving
"That  s high praise these days, this app does just what I need it to do, and does it well.",information giving
"The update downloads, but the the nook says it can  t open the download.",problem discovery
The app really needs a proper TODO list that functions as a completed and not competed list.,feature request
I use this to keep track of many items   the company is great at providing support and they update the software often.,information giving
Please stop all the enhancements.,information giving
It was a wonderful app before and now it almost takes a manual to figure out how to use it.,feature request
"It crashes less often, but still does so.",problem discovery
"\n\nSecond, it needs a way to export multiple notes at once to Word so that notes can be edited and compiled into articles and papers for publishing.",feature request
"That  s a vote of confidence that this great, versatile app will be around for as long as I need it.",information giving
"It crashes occasionally, and the text formatting is bad.",problem discovery
"The problems are obvious, and I wish they  d be fixed.",problem discovery
Latest update crashes constantly.,problem discovery
Now I know why it  s one if the best apps available in all platforms.,information giving
"This single app has replaced my GTD apps, note apps, outliners, presentation apps, file sharing, and with the sync is available everywhere I need.",information giving
Great to have my stuff available in one place.,information giving
Reason for only 4 stars is because some features are not available across all platforms.,problem discovery
The app seemingly does not support cut and paste after IOS7 upgrade.,problem discovery
"\n\nI  d give 5 stars, but Evernote really need to give feature parity with their desktop version.",feature request
It used to allow adding multiple tags at once.,information giving
Just clip all thoughts you have from any medium to the software and it is recall able.,information giving
Well worth the download and will purchase the subscription once I learn more on how to maximize it.,information giving
"Ever since EverNote 'upgraded' to iOS7 style, it has been a poorly designed bloated app that constantly crashes.",problem discovery
": ) That said, Evernote has made a massive impact in my life in terms of productivity and organization.",information giving
"Every time I re download the app, I then need to wait until it downloads my all my offline notebooks.",problem discovery
"It seemed cool, but I just don  t take that many notes, I thought.",information giving
"\n\nNow imagine that for invoices, reference photos, old magazines, newspaper articles, kids school awards, receipts, every recipe you own, the manual to your dishwasher, the color of paint in in your living room, the business card of the guy who installed your flooring, etc.\n\nWhether we like it or not, we need to acquire the skill of information management.",information seeking
Please do take out the marketplace and announcement ads though.,feature request
You can  t search within a specific notebook without typing in code (very time consuming even IF you can figure out how to do it).,feature request
"The list of search results should show the line of the found text, so you can see quickly if that  s what you  re looking for without having to open it.",feature request
\n\nWish I could create tables since I use this mostly to trap info for reference.,feature request
There are things it would be nice if EN could do but maybe we  re all getting spoiled.,feature request
This is the only notepad solution I use for my business!,information giving
Whether you want to organize your butterfly collection or organize your dissertation Evernote can help you do it.,information giving
As of Dec upgrade it still crashes.,problem discovery
It has become something I rely on but it crashes on my iPhone.,problem discovery
I tried opening it from the App Store but it wouldn  t let me.,problem discovery
This app alone is the first one I recommend to any family member or friend with a new iOS (or other) device.,information giving
"Easy to search for information when I need it ,",information giving
I sure wish there was a better app than Evernote for this feature set because it has so many bugs and feature limitations.,problem discovery
Also wish there was a way to view all notes in Flipboard and to display alerts for random notes!,feature request
I don  t need any other note taking apps to store my notes.,information giving
"Every time I have something come up with in my mind, I just simply take a draft in Evernote and tag it as idea"".""",information giving
It crashes constantly.,problem discovery
"When I update a note on my PC it takes forever to show up after I sync on phone, sometimes I even have to log out and back for it to show up.",problem discovery
"So because of this program, I updated my iOS, and it changed its look completely and its stability.",information giving
It crashes every time within 2 minutes of using it.,problem discovery
"Please make it stable, and if possible, bring back the old UI.",problem discovery
"It would be nice to have a word counter feature though ,",feature request
"If you are looking for an app to keep all your information:from pictures to web links,quotes,recipes,etc.This is the ultimate app,look no more!",information giving
Blurring out the right side means you can  t read or really see that area when the sidebars open anyway.,information giving
"I currently cannot attach photos without it crashing, so I may have to find a replacement soon.",problem discovery
"Just installed it on a new iPad; I  m glad I don  t have too much invested in it, because I  m abandoning it over the font size issue.",problem discovery
"The font is smaller than that of any other app I use, and there is NO way to control it, short of using Evernote through a web browser which entirely defeats the purpose.",feature request
"s problems with this app , 5,  ptcgkm ,  This is a great app, which I have been using for many years.",information giving
"I tried fixing it myself before contacting support, but I made the problem worse.",problem discovery
\n\nI recommend Evernote to everyone I meet.,information giving
Since the new update the app crashes a lot on my 4s   especially when I try to take a photo in the app.,problem discovery
"Start crashing : ( ,",problem discovery
"But since IOS7, it crashes and freezes on a website at least once a week.",problem discovery
"The only way I can continue is to go through iTunes to delete the whole app, then reinstall it.",information giving
Love the ease with which other apps can integrate with Evernote.,information giving
"It constantly reports failure to synch, it freezes momentarily between all actions, it crashes here and thee, and the search function sometimes fails to find key words.",problem discovery
"Note, some of my problems may be related with some incompatibility of iPad2 with iOS7.",problem discovery
The problems I  ve experienced are not as severe as what others are reporting.,problem discovery
"I am still working on EN, but will also be on stand by, and looking for possible alternatives.",information giving
"Yodaman70 ,  Not sure if this is an Evernote or iTunes issues but found this app and two others aren  t upgradeable yet 60 other apps no problem.",problem discovery
"It  s time for Evernote to take a good, hard look at its software and start pulling features.",feature request
Still crashes a lot when capturing and attaching photos to the note.,problem discovery
"This app is ok, but we need to get these machines to be more than places to brain dump.",feature request
"And, each time a sync error occurs, the error report transmission fails as well.",problem discovery
I would use it exclusively if it had spreadsheet editing capabilities.,feature request
"Had been five for me, but the update one previous to this broke it for whole tribes of us, and it took them a week to get the fix out (see below).",problem discovery
How do these things get out of the gate?,information seeking
My only wish list item would be a URL scheme for passing information to the app or opening a search from elsewhere  something Launch Center Pro could use.,feature request
\n\n** iOS Redesign **\nProps to the Evernote team for not just tweaking the look of their app for iOS 7 like so many others.,information giving
Will update rating accordingly.,information giving
"Tech support tried to help, and I  m a premium user, but none of them came right out and said what was wrong, something like: 'Sir, you are experiencing what millions of others are experiencing.'",problem discovery
We have created an unreliable app.,information giving
What happened?,information seeking
Just use Notebooks or OneNote.,information giving
These guys know how to think outside of the box to let a note taking app evolve and immerse itself into your life and business.,information giving
\n\nHighly recommended note taking app.,information giving
It  s already possible to rearrange boards   why not the pins on a single board?,information seeking
"This app provides me with just that   the opportunity to glance at photos, and most photos have links for further information.",information giving
Pinterest is now my go to resource whenever I need ideas or inspiration for nearly anything in life.,information giving
The only problem is that it  s like a giant vortex where I look up and an hour has passed.,problem discovery
No longer have to cut a tree down when I can pin it!,information giving
"This is the easiest way for me to use Pinterest, so I don  t just spend hours on the site.",information giving
This can be frustrating when your in the middle of adding important ingredients.,feature request
\nBut you should be able to rearrange your boards on here.,feature request
"Works well crashes sometimes, but good!",problem discovery
This app has made my life so much easier!,information giving
I have had this app and I  m literally on it everyday.,information giving
Powerful for seeing goals I have set for the year to attract what I need to make a goal a reality.,information giving
I love how you can look ion vastly different categories; where you can find anything you can think of!,information giving
"I recommend some improvements, such as being able to rearrange pins and boards on the app.",feature request
I uninstalled the app from my iPad because it always crashes.,problem discovery
"I enjoying seeing how many folks are following me, and sometimes adding photos I take, or find outside of pinterest.",information giving
I can always find what I need and great new ideas!,information giving
You can create any type of board you want and pretty much everything else is customizable too.,information giving
It needed to happen.,feature request
I  m not sure how I managed in life without Pinterest (or this app for that matter) but it  s my #1 go to if I need a little inspiration.,information giving
I wish after it crashes you could go back instead of starting over!,problem discovery
You look further and it was/wasn  t what you expected.,information giving
You have to arrow back using your browser and it takes you ALL The Way Back to the Beginning of scrolling.,information giving
I  ve learned how to do so many things through Pinterest pins and enjoying pinning items of my own.,information giving
I totally recommend this app.,information giving
I have had no problems with it crashing my phone.,problem discovery
"This is such a fun way to kill time..waiting for appointments, when I can  t sleep or just feeling lazy bones.",information giving
"I love this app I get recipes, how to  s, ideas and tons of diy ideas.",information giving
The app used to have major freezing problems.,problem discovery
You can create a board of your own to refer back to also.,information giving
"\nIt still needs improvements at the functionality level, such as allowing a bigger number of secret boards, more flexibility in the search of pins, pinners, and boards, and more flexibility in the display on one  s pins and boards and boards that are followed.",feature request
I recommend it often.,information giving
I spend hours just looking and getting great ideas!,information giving
";) I think it could be better by being able to private message someone , though you could block the person from messaging if needed.",feature request
"Also I think it could be better if a pin could be deleted from your group board (like for example if it was inappropriate and you didn  t want it on your board), and also if you didn  t need to follow a person back for them to be added to a group board.",feature request
"Please fix this, I love Pinterest way too much not to use it!",problem discovery
Can  t stop pinning!!!!!!,problem discovery
"In hope i don  t jinx myself, but i haven  t had any issues with this app.",information giving
"Love the changes Pinterest has added, I don  t ever have problems with this app because they  re great at addressing any.",information giving
"Well, here  s your review.",information giving
I have had no problems with it at all.,information giving
The potential is there...just waiting.,information giving
I love the app and use it a lot when I need to pass time!,information giving
Can do what I like to do n rarely crashes!,problem discovery
"Please fix the fixes"".""",problem discovery
I recommend this app to all my friends and will continue to use it faithfully!,information giving
"Please add a back to top of page"" button.""",feature request
"I love Pinterest, but this app crashes almost every time I use it ,",problem discovery
Love having a source of photos to reference when I need them.,information giving
"Nice app you can save your pics and grab pics from others and share comments ,",information giving
"The app is hard to see clearly on my phone, maybe I need to get the iPad.",feature request
Never had the problem before.,problem discovery
"The only suggestions...fix the glitch that boots you out and shuts down your iPad on occasion, create main topic board to house boards as subtopics (e.g. Main topic 'decorating' and boards under this would be kitchen, bedroom, etc.) I just have so many boards it would make things more organized and easier to find.",problem discovery
I don  t understand why fix something that is not broken to really break it!!?,information giving
"I wish there were no limitations on searches, and I know there are thousands of pins, so why only show a couple hundred?",information seeking
The upgrades have made great improvements.,information giving
Haven  t had any issues at all on iPhone 4S.,information giving
There are so many great ideas on this app.,information giving
The only issue with this app is the lack of ability to print a pin from within the app you have to open in safari and that is to many extra steps....please add a print button!,feature request
Love how you can create group boards and progressively invite members.,information giving
"The mobile app is slow and crashes a lot, but I love it when it  s not struggling.",problem discovery
Can you try to add some instructions or a replay for when you first join?,feature request
That I need to ask.,feature request
"The only problem is that I  ll just mean to take a peek &amp; before I know it, I  ll discover I  ve lost hours!",problem discovery
"The best place to keep all your ideas, favorite things and plans is one place and better yet to share!",information giving
"Easy to use, great way to kill time at a doctor  s office and such.",information giving
I love fantasy art picture but you need to do if people like us is more easy phone to select action a picture.,feature request
I have no problems with this app.,information giving
This app runs so smoothly and I rarely have issues with it anymore.,information giving
"Brittany Lauren ,  Please please please give us an update to be able to search for pins on our boards!",feature request
There is still a crashing issue on occasion and pins on my homepage refuse to load.,problem discovery
The app crashes sometimes and that can be very frustrating.,problem discovery
I learn a lot from what other folks post  it lacks a reliable search function &amp; it needs to add a setting of BOARDS/PERSONS I FOLLOW.,feature request
Overall it is fun &amp;   provides a lot of good info.,information giving
The only bad thing about it is that you can  t get on it without wifi.,feature request
Minus one star for occasional crashes of the app and I wish there was a better way to keep people from pinning links to spammy websites.,feature request
There are so many recipes and ideas that you can pin now and use as a resource later.,information giving
\n\nPinterest was crashing on my iPad but seems to be better since the update.,problem discovery
I don  t like updates that change everything around but I seem to be getting used to how to navigate it.,information giving
I have to careful when I open it because it can be hours before I come up for air.,information giving
Please take off the new update where it recommends sending certain pins to people who may like it on your Facebook friends list.,feature request
It  s good that we can view what we  ve already pinned and be told when we  re about to pin something we may have forgotten has already been pinned to our board(s).,information giving
Fantastic app I recommend it entirely only crashes sometimes.,problem discovery
How to make or do anything!,information seeking
"I use Pinterest a lot, but the app is constantly crashing when I go to open a pin.",problem discovery
Everything you need is right here and more!,information giving
"But I wish there were a way to organize pins within boards, like sub boards or something.",feature request
"It  s so easy to use, has very few bugs, and is so much fun!!",problem discovery
"I enjoy using Pinterest on the iPad and iPhone but some features, like the ability to change the cover image of a board are missing.",feature request
"I love Pintrest and the app version is laid out well, but it crashes all the time and sometimes takes several tries to reach the web page linked to the pin.",problem discovery
5/9/12 Update: Bugs are fewer.,problem discovery
Can we get a fix on this?,problem discovery
"Never have any problems with it, never crashes.",information giving
"The ideas that I have been able to use and share have been a tremendous help to me, my family, friends and co workers.",information giving
Will there ever be an update that allows us to move multiple pins to one board at a time?,information seeking
Pintrest provides an easy way to find and store ideas.,information giving
"I love how you can create boards, secret boards, send to other pinners, or just like something.",information giving
I have no problems with it at all.,information giving
"After update, takes longer for boards to load, sometimes the app crashes.",problem discovery
I have had no problems with Pinterest ever!,information giving
because it crashes now and then.,problem discovery
"Pinterest helps you find recipes to make delicious dishes, gives you amazing gift ideas and room decor.",problem discovery
Why is it stuck?,information seeking
Why aren  t our personal Boards in alpha order the way they come up to pin?,information seeking
Why can  t we change the cover photo on our Boards anymore?,information seeking
The only problem I have with it is that it randomly closes the app.,problem discovery
it always gives me ideas i can use or elaborate on.,information giving
"For those who like to visually learn, read and live, this app fits the personal functionality I need in order for the platform to be an intuitive, seamless process regardless of the task I  m attempting to perform.",feature request
I wish you could still pin without opening.,feature request
I wish there was some type of messenger available.,feature request
It would be nice to be able to respond to pins that have been sent to us with a message.,feature request
i like the new update but it still crashes every so often.,problem discovery
"I  m sure there is a way to turn that off, but I haven  t figured it out.",information seeking
I wish there was a way to take off your recently viewed categories.,feature request
They  ve been hits at get togethers and if I ever need to fix or clean something I can find it on Pinterest.,problem discovery
"s Fling ,  This version crashes repeatedly and completely shuts my iPad down.",problem discovery
"I need Pinterest Anonymous ,",feature request
No matter what you need it  s on Pinterest.,information giving
